48, 1, 2, 153, 204, 158.617, 158.617,19, 19
48, 1, 3, 153, 157, 343.987, 364.259,39, 37
48, 1, 4, 153, 308, 19.0806, 37.3656,4, 2
48, 1, 5, 153, 286, 0, 0,0, 0
48, 1, 6, 153, 276, 6.85686, 6.85686,1, 1
48, 1, 7, 153, 203, 0, 0,0, 0
48, 1, 8, 153, 197, 0, 0,0, 0
48, 1, 9, 153, 251, 15.2256, 15.2256,2, 2
48, 1, 10, 153, 266, 6.88684, 6.88684,1, 1
48, 1, 11, 153, 263, 15.3079, 15.3079,2, 2
48, 1, 12, 153, 255, 16.4148, 16.4148,2, 2
48, 1, 13, 153, 266, 0, 0,0, 0
48, 1, 14, 153, 215, 10.156, 16.8986,2, 1
48, 1, 15, 153, 185, 7.26502, 7.26502,1, 1
48, 1, 16, 153, 187, 38.734, 38.734,5, 5
48, 1, 17, 153, 183, 37.8581, 45.0379,6, 5
48, 1, 18, 153, 189, 24.8872, 24.8872,3, 3
48, 1, 19, 153, 214, 0, 0,0, 0
48, 1, 20, 153, 245, 0, 0,0, 0
48, 1, 21, 153, 159, 6.89006, 6.89006,1, 1
48, 1, 22, 153, 201, 0, 0,0, 0
48, 1, 23, 153, 251, 15.8666, 15.8666,2, 2
48, 1, 24, 153, 200, 29.0982, 29.0982,4, 4
48, 1, 25, 153, 244, 15.637, 23.3027,3, 2
48, 1, 26, 153, 256, 7.51984, 7.51984,1, 1
48, 1, 27, 153, 209, 87.3204, 125.342,16, 11
48, 1, 28, 153, 229, 49.0502, 49.0502,6, 6
48, 1, 29, 153, 268, 0, 0,0, 0
48, 1, 30, 153, 233, 0, 0,0, 0
48, 1, 31, 153, 209, 37.0482, 43.8658,6, 5
48, 1, 32, 153, 246, 46.9405, 46.9405,6, 6
48, 1, 33, 153, 266, 0, 0,0, 0
48, 1, 34, 153, 199, 22.1368, 22.1368,3, 3
48, 1, 35, 153, 210, 6.80158, 6.80158,1, 1
48, 1, 36, 153, 244, 6.74687, 6.74687,1, 1
48, 1, 37, 153, 255, 15.7506, 15.7506,2, 2
48, 1, 38, 153, 268, 6.71125, 6.71125,1, 1
48, 1, 39, 153, 251, 24.6689, 24.6689,3, 3
48, 1, 40, 153, 228, 0, 0,0, 0
48, 1, 41, 153, 228, 0, 0,0, 0
48, 1, 42, 153, 212, 6.76236, 6.76236,1, 1
48, 1, 43, 153, 236, 0, 0,0, 0
48, 1, 44, 153, 219, 14.54, 14.54,2, 2
48, 1, 45, 153, 254, 6.88802, 6.88802,1, 1
48, 1, 46, 153, 259, 0, 0,0, 0
48, 1, 47, 153, 238, 0, 0,0, 0
48, 2, 1, 204, 153, 158.618, 158.618,19, 19
48, 2, 3, 204, 157, 308.282, 361.437,38, 32
48, 2, 4, 204, 308, 41.4236, 64.4604,6, 4
48, 2, 5, 204, 286, 26.1894, 33.4179,4, 3
48, 2, 6, 204, 276, 9.31352, 16.9761,2, 1
48, 2, 7, 204, 203, 49.0433, 63.6256,8, 6
48, 2, 8, 204, 197, 15.09, 15.09,2, 2
48, 2, 9, 204, 251, 0, 0,0, 0
48, 2, 10, 204, 266, 26.0508, 48.148,4, 2
48, 2, 11, 204, 263, 0, 0,0, 0
48, 2, 12, 204, 255, 24.9074, 40.2978,5, 3
48, 2, 13, 204, 266, 27.0344, 27.0344,3, 3
48, 2, 14, 204, 215, 24.0567, 32.2004,3, 2
48, 2, 15, 204, 185, 41.3689, 63.0215,5, 3
48, 2, 16, 204, 187, 33.5578, 52.0249,5, 3
48, 2, 17, 204, 183, 62.6514, 76.6058,5, 4
48, 2, 18, 204, 189, 50.2961, 66.5274,8, 6
48, 2, 19, 204, 214, 30.7563, 30.7563,4, 4
48, 2, 20, 204, 245, 61.2972, 82.3058,7, 5
48, 2, 21, 204, 159, 43.0463, 62.0709,7, 5
48, 2, 22, 204, 201, 99.4487, 130.785,12, 9
48, 2, 23, 204, 251, 27.4402, 37.0421,4, 3
48, 2, 24, 204, 200, 0, 0,0, 0
48, 2, 25, 204, 244, 88.8774, 115.601,11, 8
48, 2, 26, 204, 256, 14.3332, 14.3332,2, 2
48, 2, 27, 204, 209, 114.706, 143.674,16, 13
48, 2, 28, 204, 229, 182.739, 236.619,23, 17
48, 2, 29, 204, 268, 50.7724, 67.1722,8, 6
48, 2, 30, 204, 233, 96.4257, 117.908,14, 11
48, 2, 31, 204, 209, 159.099, 197.462,22, 17
48, 2, 32, 204, 246, 36.5655, 68.8769,6, 3
48, 2, 33, 204, 266, 25.1973, 25.1973,3, 3
48, 2, 34, 204, 199, 49.2938, 60.5617,6, 5
48, 2, 35, 204, 210, 22.6634, 32.7236,3, 2
48, 2, 36, 204, 244, 52.1572, 61.1584,7, 6
48, 2, 37, 204, 255, 26.2267, 47.7734,4, 2
48, 2, 38, 204, 268, 45.5108, 71.0209,6, 4
48, 2, 39, 204, 251, 31.0265, 40.1566,4, 3
48, 2, 40, 204, 228, 14.6003, 14.6003,2, 2
48, 2, 41, 204, 228, 50.3905, 50.3905,6, 6
48, 2, 42, 204, 212, 48.683, 48.683,6, 6
48, 2, 43, 204, 236, 41.979, 55.6228,7, 5
48, 2, 44, 204, 219, 38.5793, 53.6716,6, 4
48, 2, 45, 204, 254, 0, 0,0, 0
48, 2, 46, 204, 259, 11.2056, 19.6355,2, 1
48, 2, 47, 204, 238, 23.2133, 40.2779,4, 2
48, 3, 1, 157, 153, 311.792, 364.26,39, 33
48, 3, 2, 157, 204, 331.796, 361.438,38, 35
48, 3, 4, 157, 308, 27.4071, 45.3516,4, 2
