10, 1, 29, 1569, 1715, 641.336, 1821.34,209, 72
12, 1, 29, 1271, 1343, 256.077, 560.621,68, 31
14, 1, 29, 1045, 1108, 28.675, 28.675,4, 4
16, 1, 29, 869, 965, 0, 0,0, 0
18, 1, 29, 745, 872, 0, 0,0, 0
20, 1, 29, 638, 779, 0, 0,0, 0
22, 1, 29, 559, 710, 0, 0,0, 0
24, 1, 29, 490, 668, 0, 0,0, 0
26, 1, 29, 435, 615, 0, 0,0, 0
28, 1, 29, 398, 567, 0, 0,0, 0
30, 1, 29, 359, 522, 0, 0,0, 0
32, 1, 29, 311, 486, 0, 0,0, 0
34, 1, 29, 285, 461, 0, 0,0, 0
36, 1, 29, 259, 429, 0, 0,0, 0
38, 1, 29, 239, 392, 0, 0,0, 0
40, 1, 29, 215, 359, 0, 0,0, 0
42, 1, 29, 199, 333, 0, 0,0, 0
44, 1, 29, 180, 307, 0, 0,0, 0
46, 1, 29, 168, 284, 0, 0,0, 0
48, 1, 29, 153, 268, 0, 0,0, 0
50, 1, 29, 145, 245, 0, 0,0, 0
52, 1, 29, 141, 231, 0, 0,0, 0
54, 1, 29, 130, 219, 0, 0,0, 0
56, 1, 29, 120, 200, 0, 0,0, 0
58, 1, 29, 109, 193, 0, 0,0, 0
60, 1, 29, 105, 187, 0, 0,0, 0
62, 1, 29, 94, 176, 0, 0,0, 0
64, 1, 29, 86, 172, 0, 0,0, 0
66, 1, 29, 83, 159, 0, 0,0, 0
68, 1, 29, 79, 150, 0, 0,0, 0
70, 1, 29, 75, 143, 0, 0,0, 0
72, 1, 29, 69, 136, 0, 0,0, 0
74, 1, 29, 61, 128, 0, 0,0, 0
76, 1, 29, 60, 122, 0, 0,0, 0
78, 1, 29, 57, 111, 0, 0,0, 0
80, 1, 29, 53, 101, 0, 0,0, 0
82, 1, 29, 51, 93, 0, 0,0, 0
84, 1, 29, 48, 88, 0, 0,0, 0
86, 1, 29, 44, 81, 0, 0,0, 0
88, 1, 29, 43, 74, 0, 0,0, 0
90, 1, 29, 41, 68, 0, 0,0, 0
92, 1, 29, 38, 65, 0, 0,0, 0
94, 1, 29, 34, 60, 0, 0,0, 0
96, 1, 29, 31, 54, 0, 0,0, 0
98, 1, 29, 30, 52, 0, 0,0, 0
100, 1, 29, 27, 48, 0, 0,0, 0
102, 1, 29, 26, 45, 0, 0,0, 0
104, 1, 29, 21, 43, 0, 0,0, 0
106, 1, 29, 20, 38, 0, 0,0, 0
108, 1, 29, 19, 34, 0, 0,0, 0
110, 1, 29, 18, 30, 0, 0,0, 0
112, 1, 29, 15, 27, 0, 0,0, 0
114, 1, 29, 15, 24, 0, 0,0, 0
116, 1, 29, 15, 22, 0, 0,0, 0
118, 1, 29, 12, 21, 0, 0,0, 0
120, 1, 29, 10, 16, 0, 0,0, 0
122, 1, 29, 9, 14, 0, 0,0, 0
124, 1, 29, 8, 12, 0, 0,0, 0
126, 1, 29, 8, 11, 0, 0,0, 0
