
img3.png	90	116	20
img4.png	93	120	20
img5.png	95	121	20
img6.png	91	117	30
img7.png	111	137	35
img8.png	99	124	35
img9.png	97	123	35
img10.png	95	122	35
img11.png	90	117	45
img12.png	97	124	45
img13.png	86	112	45
img14.png	89	115	45
img15.png	96	122	45
img16.png	111	137	55
img17.png	112	138	55
img18.png	112	138	55
img19.png	253	281	55
img20.png	107	134	60
img21.png	73	98	70
img22.png	74	99	70
img23.png	79	103	70
img24.png	74	99	90
img25.png	86	109	95
img26.png	87	111	95
img27.png	84	110	100
img28.png	71	98	110
img29.png	84	108	110
img30.png	89	114	110
img31.png	82	106	110
img32.png	96	121	115
img33.png	91	116	120
img34.png	87	111	120
img35.png	92	116	120
img36.png	100	125	135
img37.png	100	125	135
img38.png	95	120	135
img39.png	99	123	135
img40.png	100	125	140
img41.png	104	129	140
img42.png	96	121	150
img43.png	93	118	150
img44.png	96	120	150
img45.png	102	126	160
img46.png	102	127	160
img47.png	102	127	165
img48.png	105	130	165
img49.png	100	125	165
img50.png	99	124	180
img51.png	99	124	180
img52.png	105	130	180
img53.png	98	123	190
img54.png	99	124	180
img55.png	98	123	180
img56.png	118	142	210
img57.png	132	157	210
img58.png	133	157	215
img59.png	131	155	225
img60.png	131	155	230
img61.png	133	157	230
img62.png	133	157	240
img63.png	133	157	240
img64.png	131	155	250
img65.png	140	165	270
img66.png	137	161	270
img67.png	137	162	270
img68.png	139	159	280
img69.png	93	110	285
img70.png	159	176	285
img71.png	155	173	285
img72.png	108	130	290
img73.png	151	173	290
img74.png	92	115	290
img75.png	90	114	290
img76.png	96	120	300
img77.png	93	115	300
img78.png	98	122	310
img79.png	116	139	310
img80.png	121	145	310
img81.png	126	150	320
img82.png	126	149	325
img83.png	125	149	325
img84.png	132	156	340
img85.png	136	160	350
img86.png	105	130	350
img87.png	80	103	350
img88.png	80	103	350
img89.png	83	106	355
