40, 1, 2, 41, 28, 17.7272, 17.7272,2, 2, 15, 55, 227, 101
40, 1, 3, 41, 39, 55.7567, 55.7567,6, 6, 14, 62, 142, 103
40, 1, 4, 41, 97, 24.1838, 24.1838,3, 3, 15, 76, 299, 118
40, 1, 5, 41, 29, 45.7854, 45.7854,4, 4, 14, 54, 113, 95
40, 1, 6, 41, 129, 51.2666, 51.2666,5, 5, 16, 99, 387, 143
40, 1, 7, 41, 141, 68.7428, 68.7428,8, 8, 16, 104, 428, 149
40, 1, 8, 41, 130, 62.1209, 62.1209,7, 7, 16, 85, 409, 129
40, 1, 9, 41, 33, 0, 0,0, 0, 13, 54, 119, 96
40, 1, 10, 41, 136, 89.0414, 98.2372,9, 8, 16, 84, 414, 128
40, 1, 11, 41, 113, 46.6617, 53.5055,4, 3, 16, 83, 355, 127
40, 1, 12, 41, 140, 90.7173, 90.7173,8, 8, 16, 116, 429, 161
40, 1, 13, 41, 131, 22.0112, 22.0112,2, 2, 16, 101, 403, 146
40, 1, 14, 41, 81, 6.80748, 6.80748,1, 1, 15, 79, 249, 122
40, 1, 15, 41, 102, 29.7797, 29.7797,4, 4, 15, 84, 312, 127
40, 1, 16, 41, 152, 55.006, 55.006,6, 6, 16, 102, 480, 147
40, 1, 17, 41, 53, 0, 0,0, 0, 14, 59, 176, 102
40, 1, 18, 41, 120, 31.0914, 31.0914,4, 4, 16, 81, 361, 125
40, 1, 19, 41, 77, 29.1464, 29.1464,4, 4, 14, 64, 242, 107
40, 1, 20, 41, 89, 17.763, 17.763,2, 2, 15, 74, 275, 117
40, 1, 21, 41, 64, 0, 0,0, 0, 15, 78, 220, 122
40, 1, 22, 41, 124, 26.8276, 26.8276,3, 3, 16, 88, 371, 133
40, 1, 23, 41, 123, 6.9742, 6.9742,1, 1, 16, 106, 366, 151
40, 1, 24, 41, 85, 0, 0,0, 0, 16, 70, 260, 115
40, 1, 25, 41, 134, 0, 0,0, 0, 17, 99, 400, 145
40, 1, 26, 41, 146, 56.9526, 56.9526,7, 7, 17, 95, 447, 141
40, 1, 27, 41, 106, 0, 0,0, 0, 16, 91, 437, 136
40, 1, 28, 41, 135, 28.2471, 28.2471,3, 3, 16, 94, 406, 139
