1, 1, 2, 1, 235, 220, 653.282, 716.643,83, 83, 74, 26, 199, 2758, 260
1, 1, 3, 1, 207, 220, 594.033, 645.434,75, 75, 67, 24, 174, 2379, 229
1, 1, 3, 2, 207, 235, 487.978, 546.77,65, 65, 56, 25, 177, 2521, 234
1, 1, 4, 1, 289, 220, 131.044, 143.073,19, 19, 17, 26, 219, 3103, 278
1, 1, 4, 2, 289, 235, 100.279, 111.725,13, 13, 11, 27, 227, 3318, 287
1, 1, 4, 3, 289, 207, 86.6988, 99.178,14, 13, 11, 26, 201, 2915, 261
1, 1, 5, 1, 232, 220, 96.8421, 109.233,15, 15, 13, 24, 179, 2211, 234
1, 1, 5, 2, 232, 235, 31.7668, 31.7668,5, 4, 4, 25, 186, 2337, 242
1, 1, 5, 3, 232, 207, 52.4619, 66.2657,10, 9, 7, 24, 158, 2083, 212
1, 1, 5, 4, 232, 289, 67.8524, 76.9273,9, 9, 8, 26, 202, 2861, 260
1, 1, 6, 1, 216, 220, 148.171, 160.095,22, 20, 18, 24, 175, 2029, 230
1, 1, 6, 2, 216, 235, 127.586, 159.21,24, 22, 17, 25, 179, 2137, 235
1, 1, 6, 3, 216, 207, 260.733, 312.318,39, 39, 32, 24, 156, 1963, 211
1, 1, 6, 4, 216, 289, 65.1123, 84.3921,12, 12, 9, 26, 202, 2644, 259
1, 1, 6, 5, 216, 232, 38.7821, 38.7821,8, 5, 5, 24, 165, 2099, 219
1, 1, 7, 1, 262, 220, 87.3595, 95.101,14, 14, 13, 26, 246, 3540, 305
1, 1, 7, 2, 262, 235, 99.0671, 133.619,17, 16, 12, 27, 249, 2864, 309
1, 1, 7, 3, 262, 207, 65.5318, 79.4173,11, 10, 8, 26, 226, 2548, 284
1, 1, 7, 4, 262, 289, 252.187, 317.337,42, 42, 34, 28, 270, 3518, 331
1, 1, 7, 5, 262, 232, 45.6885, 45.6885,9, 6, 6, 26, 228, 2797, 286
1, 1, 7, 6, 262, 216, 89.3506, 128.233,16, 16, 11, 26, 227, 2626, 285
1, 1, 8, 1, 232, 220, 118.699, 130.993,17, 17, 15, 26, 183, 2820, 240
1, 1, 8, 2, 232, 235, 33.4909, 45.2079,7, 4, 3, 26, 184, 2370, 242
1, 1, 8, 3, 232, 207, 80.5667, 105.965,16, 16, 12, 25, 164, 2081, 220
1, 1, 8, 4, 232, 289, 242.714, 263.711,35, 35, 32, 27, 207, 2819, 267
1, 1, 8, 5, 232, 232, 17.0339, 17.0339,8, 2, 2, 25, 165, 2316, 222
1, 1, 8, 6, 232, 216, 113.297, 131.396,17, 17, 15, 25, 163, 2108, 219
1, 1, 8, 7, 232, 262, 298.875, 361.175,50, 44, 37, 27, 235, 2563, 294
1, 1, 9, 1, 273, 220, 130.529, 159.678,19, 19, 15, 26, 213, 2930, 272
1, 1, 9, 2, 273, 235, 101.315, 162.551,26, 24, 14, 27, 215, 3150, 275
1, 1, 9, 3, 273, 207, 130.223, 130.223,19, 18, 18, 26, 192, 2772, 250
1, 1, 9, 4, 273, 289, 350.401, 413.271,49, 49, 40, 28, 237, 3890, 298
1, 1, 9, 5, 273, 232, 35.8699, 35.8699,8, 5, 5, 26, 194, 3036, 253
1, 1, 9, 6, 273, 216, 118.56, 149.216,19, 19, 15, 26, 193, 3430, 253
1, 1, 9, 7, 273, 262, 872.003, 1111.57,124, 124, 94, 28, 263, 3524, 324
