1, 40, 20, 2, 1, 104, 108, 0.213128, 1.0869,208, 10, 8, 7, 12, 3528, 93, 31
1, 40, 20, 3, 1, 106, 108, 0.932067, 1.50293,212, 33, 23, 6, 12, 3429, 69, 30
1, 40, 20, 3, 2, 106, 104, 0.339194, 1.06697,212, 11, 9, 6, 12, 3351, 71, 29
1, 40, 20, 4, 1, 97, 108, 0.803114, 1.26679,194, 38, 26, 6, 11, 3151, 61, 29
1, 40, 20, 4, 2, 97, 104, 0.821493, 1.22109,194, 40, 23, 6, 11, 3061, 59, 29
1, 40, 20, 4, 3, 97, 106, 0.396256, 0.930969,194, 17, 11, 6, 11, 3147, 65, 29
1, 40, 20, 5, 1, 85, 108, 0.501273, 1.00308,170, 29, 20, 6, 11, 2809, 57, 28
1, 40, 20, 5, 2, 85, 104, 0.194411, 0.615306,170, 8, 6, 6, 11, 2712, 58, 28
1, 40, 20, 5, 3, 85, 106, 1.03713, 1.76189,170, 50, 32, 6, 11, 2766, 56, 28
1, 40, 20, 5, 4, 85, 97, 0.187344, 0.739276,170, 7, 6, 6, 10, 2532, 57, 27
1, 40, 20, 6, 1, 85, 108, 0.0629597, 0.963549,170, 6, 6, 6, 11, 2796, 62, 28
1, 40, 20, 6, 2, 85, 104, 0.110056, 0.735489,170, 4, 4, 6, 11, 2704, 58, 28
1, 40, 20, 6, 3, 85, 106, 0.304884, 1.17121,170, 19, 14, 6, 11, 2766, 60, 28
1, 40, 20, 6, 4, 85, 97, 0.0166667, 0.542767,170, 1, 1, 6, 11, 2548, 60, 27
1, 40, 20, 6, 5, 85, 85, 0.143369, 0.821777,170, 13, 9, 6, 10, 2269, 60, 26
1, 40, 20, 7, 1, 139, 108, 0.0407925, 0.334983,278, 2, 2, 6, 13, 4468, 89, 32
1, 40, 20, 7, 2, 139, 104, 0.0625889, 0.541514,278, 4, 4, 6, 13, 4377, 91, 32
1, 40, 20, 7, 3, 139, 106, 0.0120482, 0.412024,278, 1, 1, 6, 13, 4466, 90, 32
1, 40, 20, 7, 4, 139, 97, 0, 0.302567,278, 0, 0, 6, 13, 4110, 89, 32
1, 40, 20, 7, 5, 139, 85, 0.0232558, 0.543528,278, 1, 1, 6, 12, 3660, 92, 30
1, 40, 20, 7, 6, 139, 85, 0.106817, 0.708171,278, 9, 7, 6, 12, 3618, 91, 30
1, 40, 20, 8, 1, 96, 108, 0.0434389, 0.524764,192, 3, 3, 6, 11, 3112, 64, 29
1, 40, 20, 8, 2, 96, 104, 0, 0.323511,192, 0, 0, 6, 11, 3048, 63, 29
1, 40, 20, 8, 3, 96, 106, 0.0994272, 0.443195,192, 4, 4, 6, 11, 3110, 61, 29
1, 40, 20, 8, 4, 96, 97, 0.0172414, 0.242473,192, 1, 1, 6, 11, 2852, 61, 28
1, 40, 20, 8, 5, 96, 85, 0.0573608, 0.446248,192, 5, 3, 6, 10, 2539, 62, 27
1, 40, 20, 8, 6, 96, 85, 0.168542, 0.73097,192, 8, 6, 6, 10, 2517, 64, 27
1, 40, 20, 8, 7, 96, 139, 0.0169492, 0.967856,192, 1, 1, 6, 13, 3956, 66, 32
1, 40, 20, 9, 1, 122, 108, 0.00613497, 0.543334,244, 1, 1, 6, 13, 3994, 80, 31
1, 40, 20, 9, 2, 122, 104, 0.0166667, 0.541655,244, 1, 1, 6, 12, 3851, 80, 31
1, 40, 20, 9, 3, 122, 106, 0, 0.384911,244, 0, 0, 6, 13, 3924, 79, 31
1, 40, 20, 9, 4, 122, 97, 0, 0.7377,244, 0, 0, 6, 12, 3612, 81, 30
1, 40, 20, 9, 5, 122, 85, 0, 0.559396,244, 0, 0, 6, 12, 3218, 82, 29
1, 40, 20, 9, 6, 122, 85, 0.0587897, 0.339221,244, 6, 4, 6, 12, 3223, 79, 29
1, 40, 20, 9, 7, 122, 139, 0.0272121, 0.203015,244, 2, 2, 6, 14, 5047, 78, 34
1, 40, 20, 9, 8, 122, 96, 0, 0.231929,244, 0, 0, 6, 13, 3608, 80, 31
1, 40, 25, 2, 1, 58, 65, 0.174425, 0.947181,116, 7, 4, 6, 8, 1251, 43, 23
1, 40, 25, 3, 1, 81, 65, 0.798501, 1.3379,162, 28, 19, 6, 9, 1701, 54, 24
1, 40, 25, 3, 2, 81, 58, 0.31912, 0.829433,162, 11, 8, 6, 9, 1569, 55, 24
1, 40, 25, 4, 1, 58, 65, 0.682173, 0.988896,116, 35, 23, 6, 8, 1250, 39, 23
1, 40, 25, 4, 2, 58, 58, 0.679728, 1.01032,116, 31, 18, 6, 7, 1136, 37, 22
1, 40, 25, 4, 3, 58, 81, 0.312911, 0.710648,116, 11, 8, 6, 8, 1503, 41, 24
1, 40, 25, 5, 1, 57, 65, 0.404248, 0.765529,114, 23, 16, 6, 7, 1229, 39, 22
1, 40, 25, 5, 2, 57, 58, 0.15607, 0.497695,114, 6, 4, 6, 7, 1119, 41, 22
1, 40, 25, 5, 3, 57, 81, 0.822455, 1.40585,114, 35, 23, 6, 8, 1478, 40, 23
1, 40, 25, 5, 4, 57, 58, 0.212398, 0.759069,114, 9, 7, 6, 7, 1129, 42, 22
1, 40, 25, 6, 1, 46, 65, 0.045179, 0.712605,92, 6, 5, 5, 7, 1009, 37, 22
1, 40, 25, 6, 2, 46, 58, 0.0889823, 0.559759,92, 3, 3, 6, 7, 930, 35, 21
1, 40, 25, 6, 3, 46, 81, 0.246612, 0.921018,92, 15, 10, 6, 8, 1217, 35, 23
1, 40, 25, 6, 4, 46, 58, 0.016129, 0.448226,92, 1, 1, 6, 7, 918, 35, 21
